App;Category;Rating;Reviews;Size;Installs;Type;Price;Content Rating;Genres
Wide address pocket prep;MEDICAL;4,5;513;12;5,000+;Free;0;Everyone;Medical
Nursing Central;MEDICAL;4,3;168;5,80;10,000+;Free;0;Everyone;Medical
PTA Content Master;MEDICAL;4,2;64;41;1,000+;Paid;29,99;Everyone;Medical
Tinnitus Alleviator;MEDICAL;3,1;82;42;5,000+;Free;0;Everyone;Medical
PMHNP-BC Pocket Prep;MEDICAL;4,4;112;13;1,000+;Free;0;Everyone;Medical
Dialysis of Drugs;MEDICAL;2,9;92;1,50;10,000+;Free;0;Everyone;Medical
abeoCoder;MEDICAL;3,1;83;3,20;10,000+;Free;0;Everyone;Medical
Saunders Comprehensive Review NCLEX-PN Examination;MEDICAL;3,7;3;7,70;5,000+;Free;0;Everyone;Medical
LTC AS Legal;MEDICAL;4;6;1,30;100+;Paid;39,99;Everyone;Medical
Lippincott Nursing Advisor;MEDICAL;3,8;343;26;50,000+;Free;0;Everyone;Medical
Medical ID - In Case of Emergency (ICE);MEDICAL;4,6;717;5,40;5,000+;Paid;5,99;Everyone;Medical
Official NBSTSA CSFA Exam Prep;MEDICAL;4,4;137;11;1,000+;Free;0;Everyone;Medical
IBM Micromedex Drug Info;MEDICAL;3,8;206;9,50;10,000+;Paid;2,99;Everyone;Medical
Advanced Comprehension Therapy;MEDICAL;;3;62;100+;Paid;24,99;Everyone;Medical
Hospitalist Handbook;MEDICAL;4,8;12;18;1,000+;Paid;19,99;Everyone;Medical
Dosecast - Medication Reminder;MEDICAL;4,3;4107;Varies with devic;100,000+;Free;0;Everyone;Medical
Visualmed;MEDICAL;;0;3,10;1+;Paid;2,99;Everyone;Medical
ABG Master;MEDICAL;;2;1,80;50+;Paid;0,99;Everyone;Medical
OrthoFlow;MEDICAL;;0;66;10+;Paid;5,99;Everyone;Medical
Be the Expert in Phlebotomy - Professional Nursing;MEDICAL;;0;5,00;1+;Paid;0,99;Everyone;Medical
JH Blood Pressure Monitor;MEDICAL;3,7;9;2,90;500+;Free;0;Everyone;Medical
Sway Medical;MEDICAL;5;3;22;100+;Free;0;Everyone;Medical
Exposure Ed;MEDICAL;3;2;16;500+;Free;0;Everyone;Medical
Nucleus Smart;MEDICAL;3,7;20;19;1,000+;Free;0;Everyone;Medical
Penn State Health OnDemand;MEDICAL;;0;40;50+;Free;0;Everyone;Medical
Breastfeeding Tracker Baby Log;MEDICAL;;6;23;100+;Free;0;Everyone;Medical
Lego Ninjago Wallpaper;MEDICAL;;2;15;100+;Free;0;Everyone;Medical
RT 516 VET;MEDICAL;;0;29;10+;Free;0;Everyone;Medical
EXOGEN Connects (US);MEDICAL;;0;16;10+;Free;0;Everyone;Medical
Full Code - Emergency Medicine Simulation;MEDICAL;;0;65;100+;Free;0;Everyone;Medical
Maricopa AH;MEDICAL;;0;29;100+;Free;0;Everyone;Medical
Dare EMS Protocols;MEDICAL;;0;20;10+;Free;0;Everyone 10+;Medical
Pediatric Emergency Guide;MEDICAL;;0;3,80;100+;Free;0;Everyone;Medical
Weill Cornell Medicine;MEDICAL;;0;19;50+;Free;0;Everyone;Medical
Doctors Care;MEDICAL;;0;25;10+;Free;0;Everyone;Medical
PCOS Guide - Fight PCOS naturally;MEDICAL;;0;5,10;100+;Free;0;Everyone;Medical
EVA - Menstrual calendar and fertility;MEDICAL;;25;16;1,000+;Free;0;Everyone;Medical
Hello Face;MEDICAL;;0;1,50;10+;Free;0;Everyone;Medical
Cochrane Library;MEDICAL;3,7;3;10,00;100+;Free;0;Everyone;Medical
Labs on Demand;MEDICAL;5;1;22;10+;Free;0;Everyone;Medical
Diabetes Testing;MEDICAL;;1;3,60;500+;Free;0;Mature 17+;Medical
GGDE: Prevent & Beat Depression Symptoms;MEDICAL;;2;20;50+;Free;0;Everyone;Medical
Dermatology Atlas (Colored & Illustrative);MEDICAL;5;3;20;100+;Free;0;Everyone;Medical
Jaylex;MEDICAL;;0;13;10+;Free;0;Everyone;Medical
Tablet Reminder;MEDICAL;5;4;2,50;5+;Free;0;Everyone;Medical
Clinical Pharmacology;MEDICAL;;0;3,60;10+;Free;0;Everyone;Medical
Galaxies of Hope;MEDICAL;5;2;24;50+;Free;0;Everyone;Medical
Smartshading AI;MEDICAL;;0;10;10+;Free;0;Everyone;Medical
KBA-EZ Health Guide;MEDICAL;5;4;25;1+;Free;0;Everyone;Medical
FoothillsVet;MEDICAL;5;2;29;50+;Free;0;Everyone;Medical
Eversense;MEDICAL;;3;17;100+;Free;0;Everyone;Medical
PrimeDelivery;MEDICAL;5;3;53;10+;Free;0;Everyone;Medical
You're an Anime;MEDICAL;5;2;83;10+;Free;0;Everyone;Medical
Anatomy & Physiology Vocabulary Exam Review App;MEDICAL;5;1;4,60;5+;Free;0;Everyone;Medical
Drug Calculator;MEDICAL;;0;4,60;10+;Free;0;Everyone;Medical
HACH Cares;MEDICAL;;0;28;10+;Free;0;Everyone;Medical
WAH 247;MEDICAL;;0;29;1+;Free;0;Everyone;Medical
CT Scan Cross Sectional Anatomy;MEDICAL;4,3;10;46;100+;Free;0;Everyone;Medical
VetCode;MEDICAL;4,9;28;5,70;5,000+;Free;0;Everyone;Medical
ear super hearing;MEDICAL;;0;1,40;5+;Free;0;Everyone;Medical
Traditional Chinese Medicine Fangfang Liangfang Daquan - Practical and ancient Chinese medicine and old prescriptions for the treatment of various incurable diseases;MEDICAL;;1;12;10+;Free;0;Everyone;Medical
COPD GOLD 2017;MEDICAL;;5;2,20;10+;Free;0;Everyone;Medical
Summit Medical Video Visits;MEDICAL;;0;27;10+;Free;0;Everyone;Medical
ExtendedCare Virtual Care Room;MEDICAL;;0;18;5+;Free;0;Everyone;Medical
Lord Fairfax EMS Council;MEDICAL;;0;30;50+;Free;0;Everyone;Medical
MyWoundDoctor - Provider;MEDICAL;;0;3,50;1+;Free;0;Everyone;Medical
NCLEX Multi-topic Nursing Exam Review-Quiz & notes;MEDICAL;5;1;4,20;10+;Free;0;Everyone;Medical
Warfarin Dose Calculator;MEDICAL;;0;6,90;50+;Free;0;Everyone;Medical
Renesas PMA;MEDICAL;;0;6,60;5+;Free;0;Everyone;Medical
Pediatric Nursing;MEDICAL;4,9;14;7,00;100+;Free;0;Everyone;Medical
Interpret Chest X-Ray With 100 Cases;MEDICAL;4,6;5;11;100+;Free;0;Everyone;Medical
Basics of Orthopaedics;MEDICAL;5;1;5,60;10+;Free;0;Everyone;Medical
4 Paws PH;MEDICAL;;1;29;5+;Free;0;Everyone;Medical
high cholesterol levels;MEDICAL;;0;3,30;100+;Free;0;Everyone;Medical
Thyroid Nodules;MEDICAL;;0;20;10+;Free;0;Everyone;Medical
Training course: Learn Nursing;MEDICAL;;0;7,00;100+;Free;0;Everyone;Medical
Familyfirst Messenger;MEDICAL;4;1;3,30;10+;Free;0;Everyone;Medical
14thStreetVet;MEDICAL;;0;29;5+;Free;0;Everyone;Medical
Clinic Doctor EHr;MEDICAL;5;2;7,10;5+;Free;0;Everyone;Medical
OMD Protocols;MEDICAL;;0;Varies with devic;10+;Free;0;Everyone;Medical
Teladoc Member;MEDICAL;4;2094;23;500,000+;Free;0;Everyone;Medical
Anthem BC Anywhere;MEDICAL;2,6;496;24;100,000+;Free;0;Everyone;Medical
Ada - Your Health Guide;MEDICAL;4,7;87418;14;1,000,000+;Free;0;Everyone;Medical
Ovia Fertility Tracker & Ovulation Calculator;MEDICAL;4,8;53747;13;1,000,000+;Free;0;Everyone;Medical
My Cancer Coach;MEDICAL;4,3;44;34;10,000+;Free;0;Everyone;Medical
IHSS Help;MEDICAL;4,7;10;4,30;1,000+;Free;0;Everyone;Medical
mobileRx Pharmacy;MEDICAL;2,5;124;43;10,000+;Free;0;Everyone;Medical
Youper - AI Therapy;MEDICAL;4,6;2014;69;50,000+;Free;0;Everyone;Medical
MoodSpace;MEDICAL;4,5;503;22;50,000+;Free;0;Everyone;Medical
Super Hearing Super Ear Amplifier;MEDICAL;4,1;21;20;1,000+;Free;0;Everyone;Medical
BURST Professionals;MEDICAL;4,5;11;25;1,000+;Free;0;Everyone;Medical
LactMed;MEDICAL;4,3;573;2,00;100,000+;Free;0;Everyone;Medical
Penn State Health OnDemand;MEDICAL;;0;40;50+;Free;0;Everyone;Medical
ScriptSave WellRx Rx Discounts;MEDICAL;3,8;700;37;100,000+;Free;0;Everyone;Medical
Blue CareOnDemand;MEDICAL;4,4;163;40;10,000+;Free;0;Everyone;Medical
HHS;MEDICAL;;0;4,30;500+;Free;0;Everyone;Medical
Free Blood Pressure;MEDICAL;;7;5,70;5,000+;Free;0;Everyone;Medical
Every disease has a drug without internet;MEDICAL;;44;4,00;10,000+;Free;0;Everyone;Medical
PulsePoint AED;MEDICAL;4,5;330;17;50,000+;Free;0;Everyone;Medical
All Mental disorders;MEDICAL;4,5;453;11;100,000+;Free;0;Everyone;Medical
Deaf Interpreter;MEDICAL;3,8;24;4,40;1,000+;Free;0;Everyone;Medical
Nurse Grid;MEDICAL;4,5;1686;15;100,000+;Free;0;Everyone;Medical
High Blood Pressure Symptoms;MEDICAL;4;531;2,30;100,000+;Free;0;Everyone;Medical
MedStar eVisit;MEDICAL;4,5;20;40;5,000+;Free;0;Everyone;Medical
Blood Pressure(BP) Diary;MEDICAL;3,7;3596;8,40;1,000,000+;Free;0;Everyone;Medical
REDCap Mobile App;MEDICAL;4,3;56;11;10,000+;Free;0;Everyone;Medical
JH Blood Pressure Monitor;MEDICAL;3,7;9;2,90;500+;Free;0;Everyone;Medical
Blood Pressure;MEDICAL;;10;2,40;1,000+;Free;0;Everyone;Medical
VITAS Hospice Referral App for Healthcare Pros;MEDICAL;4,4;27;15;5,000+;Free;0;Everyone;Medical
AAFP;MEDICAL;3,8;63;24;10,000+;Free;0;Everyone;Medical
RT 516 VET;MEDICAL;;0;29;10+;Free;0;Everyone;Medical
Anthem Anywhere;MEDICAL;2,7;2657;24;500,000+;Free;0;Everyone;Medical
Sway Medical;MEDICAL;5;3;22;100+;Free;0;Everyone;Medical
Airway Ex - Intubate. Anesthetize. Train.;MEDICAL;4,3;123;86;10,000+;Free;0;Everyone;Medical
myvi by;MEDICAL;3,8;122;Varies with devic;10,000+;Free;0;Everyone;Medical
fred's Pharmacy;MEDICAL;3;315;22;100,000+;Free;0;Everyone;Medical
420 BZ Budeze Delivery;MEDICAL;5;2;11;100+;Free;0;Mature 17+;Medical
Fever Meter;MEDICAL;3,6;26;975;5,000+;Free;0;Everyone;Medical
Super Ear Super Hearing;MEDICAL;4;122;980;10,000+;Free;0;Everyone;Medical
Blood Pressure Monitor;MEDICAL;4,3;17;6,00;10,000+;Free;0;Everyone;Medical
BELONG Beating Cancer Together;MEDICAL;4,7;623;20;50,000+;Free;0;Teen;Medical
BP Journal - Blood Pressure Diary;MEDICAL;5;6;26;1,000+;Free;0;Everyone;Medical
TelaDoc;MEDICAL;4,7;6;13;1,000+;Free;0;Everyone;Medical
Breastfeeding Tracker Baby Log;MEDICAL;;6;23;100+;Free;0;Everyone;Medical
Blood Pressure - Stay Healthy;MEDICAL;4,6;7;2,70;1,000+;Free;0;Everyone;Medical
ConnectLine;MEDICAL;3,1;253;4,20;50,000+;Free;0;Everyone;Medical
Club;MEDICAL;4,4;3786;28;50,000+;Free;0;Everyone;Medical
Zen Leaf;MEDICAL;5;1;6,10;100+;Free;0;Mature 17+;Medical
Homeopathic Medicine Finder;MEDICAL;3,6;10;15;1,000+;Free;0;Everyone;Medical
Patient Portal;MEDICAL;2,8;66;1,20;50,000+;Free;0;Everyone;Medical
Nemours CareConnect;MEDICAL;4,4;65;37;10,000+;Free;0;Everyone;Medical
Banfield Pet Health Tracker;MEDICAL;4,2;1747;5,90;100,000+;Free;0;Everyone;Medical
tƒ?kr;MEDICAL;4,6;17;14;1,000+;Free;0;Everyone;Medical
Low Blood Pressure Symptoms;MEDICAL;4,2;28;2,30;10,000+;Free;0;Everyone;Medical
PatientPORTAL by InteliChart;MEDICAL;;1;32;500+;Free;0;Everyone;Medical
Hypertension High blood pressure;MEDICAL;3,8;292;2,70;100,000+;Free;0;Everyone;Medical
Fever Care;MEDICAL;3,5;19;2,20;5,000+;Free;0;Everyone;Medical
1800 Contacts - Lens Store;MEDICAL;4,7;23160;26;1,000,000+;Free;0;Everyone;Medical
Facebook;SOCIAL;4,1;78158306;Varies with devic;1,000,000,000+;Free;0;Teen;Social
Instagram;SOCIAL;4,5;66577313;Varies with devic;1,000,000,000+;Free;0;Teen;Social
Facebook Lite;SOCIAL;4,3;8606259;Varies with devic;500,000,000+;Free;0;Teen;Social
Tumblr;SOCIAL;4,4;2955326;Varies with devic;100,000,000+;Free;0;Mature 17+;Social
All Social Networks;SOCIAL;4,2;22492;1,50;1,000,000+;Free;0;Everyone;Social
Snapchat;SOCIAL;4;17014787;Varies with devic;500,000,000+;Free;0;Teen;Social
Social network all in one 2018;SOCIAL;4,3;1403;3,70;100,000+;Free;0;Everyone;Social
Pinterest;SOCIAL;4,6;4305441;Varies with devic;100,000,000+;Free;0;Teen;Social
TextNow - free text + calls;SOCIAL;4,4;441189;Varies with devic;10,000,000+;Free;0;Everyone;Social
Google+;SOCIAL;4,2;4831125;Varies with devic;1,000,000,000+;Free;0;Teen;Social
The Messenger App;SOCIAL;4,4;4919;2,80;1,000,000+;Free;0;Everyone;Social
Messenger Pro;SOCIAL;4,4;13762;3,90;1,000,000+;Free;0;Everyone;Social
Telegram X;SOCIAL;4,6;70616;Varies with devic;5,000,000+;Free;0;Teen;Social
The Video Messenger App;SOCIAL;4,4;1200;2,80;100,000+;Free;0;Everyone;Social
Jodel - The Hyperlocal App;SOCIAL;4,5;76480;20;1,000,000+;Free;0;Mature 17+;Social
Who Viewed My Facebook Profile - Stalkers Visitors;SOCIAL;4,6;271445;9,90;5,000,000+;Free;0;Everyone;Social
Love Sticker;SOCIAL;4,6;33177;10;1,000,000+;Free;0;Everyone;Social
Web Browser & Fast Explorer;SOCIAL;4,4;54768;2,60;5,000,000+;Free;0;Everyone;Social
VidStatus app - Status Videos & Status Downloader;SOCIAL;4,5;25562;31;5,000,000+;Free;0;Teen;Social
Love Images;SOCIAL;4,3;16404;2,30;1,000,000+;Free;0;Everyone;Social
Web Browser ( Fast & Secure Web Explorer);SOCIAL;4,4;2508;6,00;500,000+;Free;0;Everyone;Social
SPARK - Live random video chat & meet new people;SOCIAL;4,6;79658;17;5,000,000+;Free;0;Mature 17+;Social
Golden telegram;SOCIAL;4,3;374;20;50,000+;Free;0;Everyone;Social
Amino: Communities and Chats;SOCIAL;4,8;1259075;62;10,000,000+;Free;0;Teen;Social
Facebook Local;SOCIAL;4,2;4751;Varies with devic;1,000,000+;Free;0;Teen;Social
Meet ¢?? Talk to Strangers Using Random Video Chat;SOCIAL;4,6;60562;15;5,000,000+;Free;0;Mature 17+;Social
MobilePatrol Public Safety App;SOCIAL;4;22695;Varies with devic;1,000,000+;Free;0;Everyone 10+;Social
Phone Tracker : Family Locator;SOCIAL;4,3;231325;5,40;10,000,000+;Free;0;Everyone;Social
HTC Social Plugin - Facebook;SOCIAL;3,6;13223;2,80;10,000,000+;Free;0;Mature 17+;Social
Periscope - Live Video;SOCIAL;4;479908;15;10,000,000+;Free;0;Mature 17+;Social
Quora;SOCIAL;4,5;313633;Varies with devic;10,000,000+;Free;0;Teen;Social
Kate Mobile for VK;SOCIAL;4,4;540930;5,30;10,000,000+;Free;0;Teen;Social
Family GPS tracker KidControl + GPS by SMS Locator;SOCIAL;4,5;57146;Varies with devic;1,000,000+;Free;0;Everyone;Social
LinkedIn;SOCIAL;4,2;1225339;Varies with devic;100,000,000+;Free;0;Everyone;Social
Moment;SOCIAL;4,5;19583;37;1,000,000+;Free;0;Teen;Social
Meetup;SOCIAL;4,2;79129;23;5,000,000+;Free;0;Teen;Social
Text Free: WiFi Calling App;SOCIAL;4,2;83488;Varies with devic;5,000,000+;Free;0;Everyone;Social
TextNow - free text + calls;SOCIAL;4,4;441189;Varies with devic;10,000,000+;Free;0;Everyone;Social
Badoo - Free Chat & Dating App;SOCIAL;4,3;3781770;Varies with devic;100,000,000+;Free;0;Mature 17+;Social
Text free - Free Text + Call;SOCIAL;4,3;315441;Varies with devic;10,000,000+;Free;0;Everyone;Social
textPlus: Free Text & Calls;SOCIAL;4,1;382120;28;10,000,000+;Free;0;Everyone;Social
Tango - Live Video Broadcast;SOCIAL;4,3;3806669;Varies with devic;100,000,000+;Free;0;Mature 17+;Social
MeetMe: Chat & Meet New People;SOCIAL;4,2;1259849;76;50,000,000+;Free;0;Mature 17+;Social
Whisper;SOCIAL;4,1;205803;Varies with devic;5,000,000+;Free;0;Teen;Social
Tumblr;SOCIAL;4,4;2955325;Varies with devic;100,000,000+;Free;0;Mature 17+;Social
Blogger;SOCIAL;3,7;138026;2,70;5,000,000+;Free;0;Mature 17+;Social
Bloglovin';SOCIAL;3,9;8936;Varies with devic;500,000+;Free;0;Everyone;Social
Blogaway for Android (Blogger);SOCIAL;3,7;4253;4,10;100,000+;Free;0;Teen;Social
Snapchat;SOCIAL;4;17014705;Varies with devic;500,000,000+;Free;0;Teen;Social
Instagram;SOCIAL;4,5;66577446;Varies with devic;1,000,000,000+;Free;0;Teen;Social
TwitCasting Live;SOCIAL;3,6;14835;Varies with devic;1,000,000+;Free;0;Teen;Social
Stream - Live Video Community;SOCIAL;4,1;6388;Varies with devic;500,000+;Free;0;Teen;Social
YouNow: Live Stream Video Chat;SOCIAL;4,1;309872;85;10,000,000+;Free;0;Teen;Social
Periscope - Live Video;SOCIAL;4;479909;15;10,000,000+;Free;0;Mature 17+;Social
Mirrativ: Live Stream Any App;SOCIAL;4,1;17955;89;500,000+;Free;0;Teen;Social
Snapchat;SOCIAL;4;17015352;Varies with devic;500,000,000+;Free;0;Teen;Social
Instagram;SOCIAL;4,5;66577313;Varies with devic;1,000,000,000+;Free;0;Teen;Social
Pinterest;SOCIAL;4,6;4305441;Varies with devic;100,000,000+;Free;0;Teen;Social
Nextdoor - Local neighborhood news & classifieds;SOCIAL;4,3;51502;20;5,000,000+;Free;0;Teen;Social
Banjo;SOCIAL;4,2;58341;9,30;1,000,000+;Free;0;Everyone;Social
We Heart It;SOCIAL;4,5;637309;Varies with devic;10,000,000+;Free;0;Teen;Social
MeetMe: Chat & Meet New People;SOCIAL;4,2;1259894;76;50,000,000+;Free;0;Mature 17+;Social
Timehop;SOCIAL;4,1;161610;16;5,000,000+;Free;0;Teen;Social
Frontback - Social Photos;SOCIAL;3,8;19446;Varies with devic;1,000,000+;Free;0;Mature 17+;Social
LinkedIn;SOCIAL;4,2;1225367;Varies with devic;100,000,000+;Free;0;Everyone;Social
Path;SOCIAL;4,4;1520959;Varies with devic;10,000,000+;Free;0;Teen;Social
Tango - Live Video Broadcast;SOCIAL;4,3;3806669;Varies with devic;100,000,000+;Free;0;Mature 17+;Social
Couple - Relationship App;SOCIAL;4;33249;8,40;1,000,000+;Free;0;Everyone;Social
Badoo - Free Chat & Dating App;SOCIAL;4,3;3781770;Varies with devic;100,000,000+;Free;0;Mature 17+;Social
Nextdoor - Local neighborhood news & classifieds;SOCIAL;4,3;51504;20;5,000,000+;Free;0;Teen;Social
POF Free Dating App;SOCIAL;4,2;1175794;Varies with devic;50,000,000+;Free;0;Mature 17+;Social
MeetMe: Chat & Meet New People;SOCIAL;4,2;1259894;76;50,000,000+;Free;0;Mature 17+;Social
LOVOO;SOCIAL;4;852455;68;10,000,000+;Free;0;Mature 17+;Social
Patook - make platonic friends;SOCIAL;4;3677;50;100,000+;Free;0;Mature 17+;Social
Meetup;SOCIAL;4,2;79129;23;5,000,000+;Free;0;Teen;Social
Text Free: WiFi Calling App;SOCIAL;4,2;83488;Varies with devic;5,000,000+;Free;0;Everyone;Social
Zello PTT Walkie Talkie;SOCIAL;4,4;695613;Varies with devic;50,000,000+;Free;0;Everyone;Social
textPlus: Free Text & Calls;SOCIAL;4,1;382121;28;10,000,000+;Free;0;Everyone;Social
magicApp Calling & Messaging;SOCIAL;4,1;207712;Varies with devic;10,000,000+;Free;0;Everyone;Social
uCiC- Videos and Photos on demand;SOCIAL;4;2052;7,00;100,000+;Free;0;Teen;Social
Meetup;SOCIAL;4,2;79130;23;5,000,000+;Free;0;Teen;Social
POF Free Dating App;SOCIAL;4,2;1175815;Varies with devic;50,000,000+;Free;0;Mature 17+;Social
MeetMe: Chat & Meet New People;SOCIAL;4,2;1259894;76;50,000,000+;Free;0;Mature 17+;Social
LOVOO;SOCIAL;4;852455;68;10,000,000+;Free;0;Mature 17+;Social
Badoo - Free Chat & Dating App;SOCIAL;4,3;3781770;Varies with devic;100,000,000+;Free;0;Mature 17+;Social
Couple - Relationship App;SOCIAL;4;33249;8,40;1,000,000+;Free;0;Everyone;Social
Meetup;SOCIAL;4,2;79130;23;5,000,000+;Free;0;Teen;Social
Amazon for Tablets;SHOPPING;4;141613;22;10,000,000+;Free;0;Teen;Shopping
Wish - Shopping Made Fun;SHOPPING;4,5;6210998;15;100,000,000+;Free;0;Everyone;Shopping
OfferUp - Buy. Sell. Offer Up;SHOPPING;4,6;591312;Varies with devic;10,000,000+;Free;0;Everyone;Shopping
Shopee - No. 1 Online Shopping;SHOPPING;4,3;94294;30;10,000,000+;Free;0;Everyone;Shopping
Shopee: No.1 Online Shopping;SHOPPING;4,2;608753;30;10,000,000+;Free;0;Everyone;Shopping
Kroger;SHOPPING;4,3;38961;27;5,000,000+;Free;0;Everyone;Shopping
Walmart;SHOPPING;4,4;441473;Varies with devic;10,000,000+;Free;0;Everyone;Shopping
eBay: Buy & Sell this Summer - Discover Deals Now!;SHOPPING;4,4;2788923;Varies with devic;100,000,000+;Free;0;Teen;Shopping
Amazon Shopping;SHOPPING;4,3;909226;42;100,000,000+;Free;0;Teen;Shopping
Lazada - Online Shopping & Deals;SHOPPING;4,2;1573054;Varies with devic;50,000,000+;Free;0;Everyone;Shopping
OLX - Buy and Sell;SHOPPING;4,2;857923;18;50,000,000+;Free;0;Everyone;Shopping
The wall;SHOPPING;4,4;35563;4,20;1,000,000+;Free;0;Everyone;Shopping
Flipp - Weekly Shopping;SHOPPING;4,6;85858;Varies with devic;10,000,000+;Free;0;Everyone;Shopping
Lotte Home Shopping LOTTE Homeshopping;SHOPPING;3,6;8820;33;5,000,000+;Free;0;Everyone;Shopping
Jiji.ng;SHOPPING;4,4;25714;12;1,000,000+;Free;0;Everyone;Shopping
GS SHOP;SHOPPING;3,8;44255;15;10,000,000+;Free;0;Everyone;Shopping
The birth;SHOPPING;4,7;1084945;Varies with devic;50,000,000+;Free;0;Teen;Shopping
CJmall;SHOPPING;3,6;18252;10;10,000,000+;Free;0;Everyone;Shopping
Home & Shopping - Only in apps. 10% off + 10% off;SHOPPING;4,2;42750;9,90;10,000,000+;Free;0;Everyone;Shopping
EHS Dongsen Shopping;SHOPPING;3,6;3656;9,00;1,000,000+;Free;0;Teen;Shopping
bigbasket - online grocery;SHOPPING;4,3;216741;Varies with devic;5,000,000+;Free;0;Everyone;Shopping
Bukalapak - Buy and Sell Online;SHOPPING;4,4;662287;21;10,000,000+;Free;0;Everyone;Shopping
Life market;SHOPPING;4,5;30834;13;1,000,000+;Free;0;Everyone;Shopping
Jabong Online Shopping App;SHOPPING;4,1;367290;11;10,000,000+;Free;0;Everyone;Shopping
Family Dollar;SHOPPING;4,3;2588;21;1,000,000+;Free;0;Everyone;Shopping
Jumia online shopping;SHOPPING;4,3;162655;8,10;10,000,000+;Free;0;Teen;Shopping
Mercado Libre: Find your favorite brands;SHOPPING;4,7;3860225;Varies with devic;50,000,000+;Free;0;Everyone;Shopping
Blibli.com Online Shopping;SHOPPING;4,2;171584;12;10,000,000+;Free;0;Everyone;Shopping
ZALORA Fashion Shopping;SHOPPING;4,2;142512;15;10,000,000+;Free;0;Everyone;Shopping
Magazine Luiza Online Shopping;SHOPPING;4,3;109124;22;10,000,000+;Free;0;Everyone;Shopping
ROMWE - Women's Fashion;SHOPPING;4,6;135043;11;10,000,000+;Free;0;Everyone;Shopping
Buscapƒ? - Offers and discounts;SHOPPING;4,4;108592;8,30;10,000,000+;Free;0;Everyone;Shopping
Myntra Online Shopping App;SHOPPING;4,3;1315242;Varies with devic;50,000,000+;Free;0;Everyone;Shopping
11st;SHOPPING;3,8;48732;20;10,000,000+;Free;0;Everyone;Shopping
Coupang;SHOPPING;4,6;308234;38;10,000,000+;Free;0;Everyone;Shopping
Wemep - Special price representative (special / shopping / shopping app / coupon / shipping);SHOPPING;4,5;178497;9,10;10,000,000+;Free;0;Everyone;Shopping
Target - now with Cartwheel;SHOPPING;4,1;68406;24;10,000,000+;Free;0;Everyone;Shopping
Flipkart Online Shopping App;SHOPPING;4,4;6012719;Varies with devic;100,000,000+;Free;0;Teen;Shopping
Sam's Club: Wholesale Shopping & Instant Savings;SHOPPING;4,3;45362;Varies with devic;5,000,000+;Free;0;Everyone;Shopping
Chilindo;SHOPPING;3,8;18364;29;1,000,000+;Free;0;Everyone;Shopping
Rossmann PL;SHOPPING;4;15867;Varies with devic;5,000,000+;Free;0;Everyone;Shopping
CheckPoints à??? Rewards App;SHOPPING;4,1;23187;25;1,000,000+;Free;0;Everyone;Shopping
Extreme Coupon Finder;SHOPPING;4,1;11798;Varies with devic;1,000,000+;Free;0;Everyone;Shopping
SnipSnap Coupon App;SHOPPING;4,2;9975;18;1,000,000+;Free;0;Everyone;Shopping
Checkout 51: Grocery coupons;SHOPPING;4,1;52896;Varies with devic;10,000,000+;Free;0;Everyone;Shopping
Coupon Sherpa;SHOPPING;4,4;7793;6,10;500,000+;Free;0;Everyone;Shopping
Gyft - Mobile Gift Card Wallet;SHOPPING;4,1;9701;14;500,000+;Free;0;Everyone;Shopping
SavingStar - Grocery Coupons;SHOPPING;4,2;31519;21;1,000,000+;Free;0;Everyone;Shopping
The Coupons App;SHOPPING;4,5;181990;Varies with devic;10,000,000+;Free;0;Everyone;Shopping
Wish - Shopping Made Fun;SHOPPING;4,5;6211039;15;100,000,000+;Free;0;Everyone;Shopping
Key Ring: Cards Coupon & Sales;SHOPPING;4,1;42871;23;1,000,000+;Free;0;Everyone;Shopping
Stocard - Rewards Cards Wallet;SHOPPING;4,6;284725;20;10,000,000+;Free;0;Everyone;Shopping
Nike;SHOPPING;4,7;67071;40;1,000,000+;Free;0;Everyone;Shopping
Poshmark - Buy & Sell Fashion;SHOPPING;4,3;46153;17;10,000,000+;Free;0;Everyone;Shopping
Mercari: The Selling App;SHOPPING;4,4;101883;13;10,000,000+;Free;0;Everyone;Shopping
Blidz - Hunt Free Deals On Trending Items!;SHOPPING;4,4;1659;33;50,000+;Free;0;Everyone;Shopping
SnipSnap Coupon App;SHOPPING;4,2;9975;18;1,000,000+;Free;0;Everyone;Shopping
Extreme Coupon Finder;SHOPPING;4,1;11798;Varies with devic;1,000,000+;Free;0;Everyone;Shopping
Checkout 51: Grocery coupons;SHOPPING;4,1;52896;Varies with devic;10,000,000+;Free;0;Everyone;Shopping
The Coupons App;SHOPPING;4,5;181990;Varies with devic;10,000,000+;Free;0;Everyone;Shopping
LivingSocial - Local Deals;SHOPPING;4,1;28523;29;5,000,000+;Free;0;Everyone;Shopping
Coupons.com ¢?? Grocery Coupons & Cash Back Savings;SHOPPING;4,2;24953;Varies with devic;1,000,000+;Free;0;Everyone;Shopping
FidMe Loyalty Cards & Deals at Grocery Supermarket;SHOPPING;4,2;33758;Varies with devic;1,000,000+;Free;0;Everyone;Shopping
Stocard - Rewards Cards Wallet;SHOPPING;4,6;284721;20;10,000,000+;Free;0;Everyone;Shopping
Ratings by Consumer Reports;SHOPPING;4,3;3420;13;100,000+;Free;0;Everyone;Shopping
HauteLook;SHOPPING;4,1;7193;7,30;500,000+;Free;0;Everyone;Shopping
